Country,Year,Type,TWh,Popn,MWhPerCap
Russian Federation,2017,Coal,174.01381216664652,142121092.17073315,1.22440525546764
Russian Federation,2017,Oil,6.946062042882166,142121092.17073315,0.04887425178620011
Russian Federation,2017,Solar,0.544,142121092.17073315,0.0038277217807085318
Russian Federation,2017,Wind,0.139,142121092.17073315,9.780392049972167e-4
Russian Federation,2017,Hydro,185.163,142121092.17073315,1.302853764855393
Russian Federation,2017,Nuclear,203.141,142121092.17073315,1.4293515262038818
Russian Federation,2017,Biomass/Geo,0.5191790000000001,142121092.17073315,0.0036530749382104313
Russian Federation,2017,SolarPlusWind,0.683,142121092.17073315,0.004805760985705748
Russian Federation,2017,SolarPlusWindPlusBio,1.202179,142121092.17073315,0.008458835923916178
Russian Federation,2018,Gas,523.722463741208,141537658.2561513,3.7002340592168643
Russian Federation,2018,Coal,176.60786159941142,141537658.2561513,1.2477800168192055
Russian Federation,2018,Oil,7.948117024089138,141537658.2561513,0.056155493329590314
Russian Federation,2018,Solar,0.62446,141537658.2561513,0.004411970691714201
Russian Federation,2018,Wind,0.23716,141537658.2561513,0.0016755964661418505
Russian Federation,2018,Hydro,190.63756,141537658.2561513,1.3469034485153693
Russian Federation,2018,Nuclear,204.58105,141537658.2561513,1.4454177956636416
Russian Federation,2018,Biomass/Geo,0.5043070000000001,141537658.2561513,0.0035630588086127436
Russian Federation,2018,SolarPlusWind,0.86162,141537658.2561513,0.0060875671578560515
Russian Federation,2018,SolarPlusWindPlusBio,1.3659270000000001,141537658.2561513,0.009650625966468795
Russian Federation,2019,Gas,519.208660994687,140920338.00129554,3.684412543701915
Russian Federation,2019,Coal,176.80722108255966,140920338.00129554,1.2546607792051576
Russian Federation,2019,Oil,12.011549353519987,140920338.00129554,0.08523645006733917
Russian Federation,2019,Solar,0.98505,140920338.00129554,0.006990119481482822
Russian Federation,2019,Wind,0.31481000000000003,140920338.00129554,0.002233957173712611
Russian Federation,2019,Hydro,194.37614,140920338.00129554,1.3793334784522944
Russian Federation,2019,Nuclear,208.98567000000003,140920338.00129554,1.48300573901603
Russian Federation,2019,Biomass/Geo,0.521152,140920338.00129554,0.0036982028810859705
Russian Federation,2019,SolarPlusWind,1.29986,140920338.00129554,0.009224076655195434
Russian Federation,2019,SolarPlusWindPlusBio,1.821012,140920338.00129554,0.012922279536281403
Russian Federation,2020,Gas,485.5392502046491,140269131.40616593,3.461483259625473
Russian Federation,2020,Coal,152.32331389552664,140269131.40616593,1.0859361027513343
Russian Federation,2020,Oil,10.744117330590841,140269131.40616593,0.07659644871885586
Russian Federation,2020,Solar,1.8621400000000001,140269131.40616593,0.013275479653523716
Russian Federation,2020,Wind,1.13802,140269131.40616593,0.008113117894091238
Russian Federation,2020,Hydro,212.43827,140269131.40616593,1.5145047799922546
Russian Federation,2020,Nuclear,215.91428,140269131.40616593,1.5392857846591674
Russian Federation,2020,Biomass/Geo,0.513382,140269131.40616593,0.0036599784632118486
Russian Federation,2020,SolarPlusWind,3.00016,140269131.40616593,0.021388597547614952
Russian Federation,2020,SolarPlusWindPlusBio,3.513542,140269131.40616593,0.0250485760108268
Saudi Arabia,1985,Gas,29.752546977976916,12663373.436855093,2.3494961375288845
